year,ID,lead_rating,rating,IQ_TOTAL_ASSETS,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV
2001,JPM,-1.0,1.0,-0.9454465699744395,-0.0024086481848683786,-0.00040943230369162083,0.0,-0.0024086481848683786,0.004808572720205184,0.001093409767867759,-0.005028634279407418,-0.009855148935176423,-0.001093409767867752,-0.026098441664186484
2001,F,-1.0,-1.0,0.14338798300533687,-0.04249457594048636,-0.00414455877108227,-0.0058527686125254,-0.008634861730603054,0.0024574964713388464,0.02010119198072491,0.01893228945870873,-0.015463832617045495,-0.02010119198072491,0.004941032907723625
2001,AKAM,-1.0,-0.0,,0.0688189332625065,-1.117472944698701,0.03656594057887999,0.020108915248545876,0.061502806910734426,0.6603465433399638,0.49794759102868325,0.0012248936921828457,-0.6603465433399638,0.16460032162536647
2001,CHTR,-1.0,-0.0,1.4457738567172984,-0.0005471940603530984,-0.0012605390115338535,0.00017300954160438635,0.003984202137139861,0.023845397757614194,0.007280034805037028,0.04877888008960285,0.004571530160940161,-0.007280034805036584,0.00044941641384765776
2001,DOV,-0.0,-0.0,-0.9588967500502639,-0.01395592046298591,-0.014695858698626404,-0.01973981226834931,-0.014525101292436407,-0.008472438656937815,-0.020853593621776856,-0.027862897909004092,-0.015356988927075356,0.020853593621776967,0.010925941812895412
2001,CCI,-0.0,-0.0,0.05437815407258325,-0.0008040793482152232,-0.003301572437798864,0.0007232243422576265,-0.0004658498975146329,-0.002664407677621704,0.04909018449986663,0.033564184967797506,0.03533822826550564,-0.049090184499866685,0.022042550084164406
2001,LNT,-1.0,-1.0,-1.478522512605918,-0.018510860421928732,-0.004338844497309004,-0.012881582860235875,-0.005254606963887021,-0.007527631535351395,0.017348427952308842,0.059810244282208436,-0.039215716654507744,-0.017348427952308842,-0.007319977952508135
2001,CSX,-0.0,-0.0,-1.4356855007822136,-0.001143095720474857,0.0009298184075490316,0.0008536150990887184,0.0032459801241972557,-0.0006571690305915701,-0.001524663021845618,0.004481837381799358,0.004562128835367378,0.0015246630218455626,-0.006169097245231252
2001,RSG,-0.0,-0.0,-0.3158665721350931,-0.0003425751915638042,-0.007624273960228557,-0.0005271711474083007,0.0026702357747402233,-0.007596026301877338,0.01100907747273372,0.001915264201664435,-0.0005105426565159663,-0.01100907747273383,0.002366696546707313
2001,HBAN,-0.0,-0.0,-0.6553467294813748,0.0030798129057459534,-0.0014735693241338537,0.0,0.0030798129057459534,0.0014013367955622025,-0.0017359842222746114,-0.005156512662300244,0.0028413048384337463,0.0017359842222743754,-0.010894628596636181
